id,name,address,postalcode,lat,lng
27,PSA Vista,20 Harbour Drive #08-00 S(117612),Singapore (117612),1.28099,103.78293
28,Sengkang General Hospital,110 Sengkang East Way S(544886),Singapore (544886),1.39156,103.8978
29,Tan Tock Seng Hospital,11 Jalan Tan Tock Seng S(308433),Singapore (308433),1.32199,103.8469
30,National Library,100 Victoria Street S(188064),Singapore (188064),1.29823,103.85392
31,Adam Road Food Centre,2 Adam Road S(289876),Singapore (289876),1.32926,103.81452
32,Amoy Food Centre,National Development Building (Annex B) Telok Ayer Street S(069111),Singapore (069111),1.27873,103.84555
33,Beo Crescent Market & Food Centre,38A Beo Crescent S(169982),Singapore (169982),1.28864,103.82764
34,Berseh Food Centre,166 Jalan Besar S(208877),Singapore (208877),1.30578,103.85554
35,Bukit Timah Market & Food Centre,51 Upper Bukit Timah Road S(588215),Singapore (588215),1.3416,103.77588
36,Commonwealth Crescent Market,31 Commonwealth Crescent S(149644),Singapore (149644),1.30732,103.80005
37,Golden Mile Food Centre,505 Beach Road S(199583),Singapore (199583),1.2931,103.854
38,Market Street Food Centre,50 Market Street Golden Shoe Multi-Storey Car Park 2nd/3rd Storey S(048940),Singapore (048940),1.2840042,103.8500898
39,Maxwell Food Centre,1 Kadayanallur Street S(069184),Singapore (069184),1.280338704,103.8447631
40,Newton Food Centre,500 Clemenceau Ave North S(229495),Singapore (229495),1.3122068,103.8395832
41,North Bridge Road Market & Food Centre,861 North Bridge Road S(198783),Singapore (198783),1.3057379,103.8639914
42,Sembawang Hill Food Centre,590 Upper Thomson Road S(574419),Singapore (574419),1.3721919,103.8288748
43,Tanglin Halt Market,48A Tanglin Halt Road S(148813),Singapore (148813),1.3004795,103.7977466
44,Tiong Bahru Market,30 Seng Poh Road S(168898),Singapore (168898),1.2847325,103.832459
45,Zion Riverside Food Centre,70 Zion Road S(247792),Singapore (247792),1.2923639,103.8312212
46,Ang Mo Kio MRT station,2450 Ang Mo Kio Avenue 8 S(569811),Singapore (569811),1.3700479,103.8495715
47,Bayfront MRT Station,11 Bayfront Avenue S(018957),Singapore (018957),1.2826842,103.8598035
48,Bencoolen MRT Station (DT23),31 Bencoolen Street S(189658),Singapore (189658),1.2980346,103.8496072
49,Bendemeer MRT Station (DT23),11 Kallang Bahru S(339356),Singapore (339356),1.3149163,103.864025
50,Bishan MRT station,200 Bishan Road S(579827),Singapore (579827),1.3514551,103.8482628
51,Botanic Gardens MRT station,701 Telok Blangah Road S(109029),Singapore (109029),1.2662734,103.8258826
52,Braddell MRT Station,377 Lorong 1 Toa Payoh S(319756),Singapore (319756),1.3341115,103.8431428
53,Bras Basah MRT Station,65 Bras Basah Road S(189561),Singapore (189561),1.2969735,103.8506025
54,Bugis MRT Station (DT14),220 Victoria Street S(188022),Singapore (188022),1.2952,103.851
55,Chinatown MRT Station (DT19),91 Upper Cross Street S(058362),Singapore (058362),1.2882491,103.8412146
56,City Hall MRT Station,150 North Bridge Road S(179100),Singapore (179100),1.2930538,103.8524062
57,Clark Quay MRT Station (NE5),10 Outram Road S(169037),Singapore (169037),1.2804483,103.8392738
58,Dhoby Ghaut MRT Station,11 Orchard Road S(238826),Singapore (238826),1.2987695,103.8460031
59,Dhoby Ghaut MRT Station Circle Line,11 Orchard Road S(238826),Singapore (238826),1.2987695,103.8460031
60,Downtown MRT Station (DT17),15 Central Boulevard S(018969),Singapore (018969),1.2774142,103.8559907
61,Esplanade MRT Station,90 Bras Basah Road S(189562),Singapore (189562),1.293607,103.8554229
62,Farrer Road MRT station,119 Pasir Panjang Road S(117424),Singapore (117424),1.2735354,103.7995161
63,Fort Canning MRT Station (DT20),170 River Valley Road S(179038),Singapore (179038),1.2956835,103.8366692
64,Geylang Bahru MRT Station (DT24),541 Kallang Bahru S(339355),Singapore (339355),1.3149163,103.864025
65,HarbourFront MRT Station (NE1),81 Telok Blangah Road S(098867),Singapore (098867),1.2659935,103.8204935
66,Holland Village MRT station,262 Pasir Panjang Road S(118628),Singapore (118628),1.2726749,103.8014953
67,Jalan Besar MRT Station (DT22),35B Jalan Besar S(208800),Singapore (208800),1.3045674,103.8545593
68,Jalan Besar MRT Station B1 (DT22),35B Jalan Besar S(208800),Singapore (208800),1.3045674,103.8545593
69,Kallang MRT Station (EW10),5 Sims Avenue S(387405),Singapore (387405),1.3165617,103.8904882
70,Marina Bay MRT Station,21 Marina Station Road S(018990),Singapore (018990),1.2756,103.855
71,Marina South Pier station,31 Marina Coastal Drive S(018988),Singapore (018988),1.2707176,103.8629867
72,Marymount Station,60 Marymount Road S(573993),Singapore (573993),1.3490637,103.8395344
73,Newton MRT station,49 Scotts Road S(228234),Singapore (228234),1.3124816,103.8379255
